1;5914;2909;1
2;9467;3107;1
3;7229;1159;2
4;699;4980;3
5;570;4257;2
6;5325;1428;3
7;9321;2396;3
8;8168;1564;1
9;2614;2691;3
10;4436;2745;2
11;6125;76;2
12;4531;1267;1
13;6797;3691;2
14;8417;2036;1
15;7963;4288;2
16;7733;3134;1
17;9722;3129;3
18;3793;3879;1
19;6572;3512;2
20;1310;2032;3
21;4437;833;3
22;6344;2339;2
23;3164;1162;2
24;2683;955;2
25;6447;3043;2
26;1127;1145;1
27;7100;4135;1
28;8368;3794;1
29;4876;4442;3
30;1736;2813;3
31;839;4981;2
32;5260;1900;1
33;884;1304;3
34;5131;4641;3
35;5871;658;3
36;2503;789;2
37;1036;4173;1
38;3014;2166;1
39;8362;2069;1
40;3126;2057;1
41;4085;383;3
42;2223;577;3
43;397;699;1
44;321;4974;1
45;2019;1101;3
46;4179;3121;1
47;2489;2251;1
48;7181;1701;1
49;1303;3599;2
50;7475;3468;2
51;4049;758;1
52;1766;4457;2
53;3045;3367;1
54;904;3548;1
55;9994;1563;1
56;6609;3460;2
57;6714;1526;2
58;5865;4653;1
59;129;809;3
60;1908;4888;3
61;5097;4373;2
62;1928;1165;3
63;2402;2362;2
64;9706;2002;2
65;1987;1147;2
66;5743;1423;3
67;8205;4399;2
68;2633;2406;3
69;4488;4497;1
70;7731;1639;1
71;5539;1458;2
72;6761;540;2
73;9425;2271;3
74;1650;2780;3
75;5581;4541;2
76;1503;2705;3
77;4883;4923;2
78;647;3553;1
79;3420;1420;3
80;460;4889;3
81;4477;2501;1
82;1522;700;3
83;3406;1963;1
84;6993;1936;2
85;3117;1421;1
86;5041;213;1
87;7655;1105;1
88;4090;4299;2
89;7511;2490;2
90;3134;4790;3
91;1459;2939;3
92;1323;3722;3
93;4235;2110;3
94;8083;3591;3
95;5608;2516;2
96;615;168;3
97;986;4683;3
98;8160;3953;3
99;8284;4321;2
100;2345;314;3
101;6207;72;3
102;4844;3907;3
103;4653;1107;1
104;63;3818;1
105;6241;1887;2
106;6846;3636;1
107;1461;1911;3
108;701;1067;2
109;1132;1564;1
110;4705;2321;3
111;559;4991;2
112;2342;2151;3
113;5969;4887;1
114;2384;3787;1
115;6362;1213;1
116;7366;2471;3
117;4011;4958;3
