1;2005-12-03;2487;2392;доставлен
2;2001-04-09;1367;2401;оформлен
3;2000-08-03;820;647;отменен
4;2003-11-21;252;7428;доставлен
5;2022-09-13;2377;3937;отменен
6;2004-02-10;493;6431;оформлен
7;2001-12-02;462;7772;оформлен
8;2022-12-13;2487;2905;отменен
9;2019-06-03;685;6501;оформлен
10;2022-05-10;1153;1739;доставлен
11;2005-04-18;33;4036;отменен
12;2011-10-16;288;3107;оформлен
13;2000-03-10;1842;12186;отменен
14;2011-07-07;86;741;отменен
15;2004-11-26;1585;8893;оформлен
16;2013-04-11;599;7267;оформлен
17;2013-11-05;1337;5073;доставлен
18;2020-05-30;1318;14235;доставлен
19;2009-02-21;2685;7494;доставлен
20;2023-04-28;1041;1038;оформлен
21;2021-08-22;2916;11588;отменен
22;2012-03-12;93;13187;оформлен
23;2018-11-13;1298;2162;оформлен
24;2002-04-10;2483;1142;доставлен
25;2012-05-10;674;6030;отменен
26;2008-10-26;1507;8169;доставлен
27;2007-12-08;2563;7591;оформлен
28;2012-02-22;709;9973;оформлен
29;2020-03-26;122;14266;оформлен
30;2013-05-05;30;2394;доставлен
31;2008-12-08;691;6034;отменен
32;2004-10-21;2253;13262;отменен
33;2005-09-21;678;4152;доставлен
34;2018-07-26;1670;5920;отменен
35;2020-06-25;1382;14975;оформлен
36;2006-01-09;1729;5042;оформлен
37;2000-06-15;1342;11605;оформлен
38;2007-09-19;3;3627;отменен
39;2003-05-14;1024;14168;оформлен
40;2017-07-27;1279;6608;доставлен
41;2021-09-07;1117;275;доставлен
42;2002-02-13;1000;13863;оформлен
43;2021-05-19;1368;658;доставлен
44;2011-06-01;747;1178;доставлен
45;2016-03-29;488;1634;отменен
46;2003-10-25;392;3393;отменен
47;2011-10-12;1693;10443;оформлен
48;2011-08-26;714;14617;отменен
49;2017-11-22;1034;3316;оформлен
50;2022-04-12;1920;10284;отменен
51;2023-03-27;2532;12288;доставлен
52;2005-07-24;1483;2042;отменен
53;2020-11-23;190;14744;доставлен
54;2001-12-28;390;1044;отменен
55;2018-03-17;842;4811;отменен
56;2006-12-17;863;577;отменен
57;2009-06-22;1954;13282;отменен
58;2012-05-31;739;365;оформлен
59;2016-02-14;574;11376;отменен
60;2011-10-18;2324;14329;доставлен
61;2000-04-06;117;14062;доставлен
62;2008-05-08;2092;1409;доставлен
63;2010-02-07;1359;6484;оформлен
64;2019-10-22;2764;6473;отменен
65;2015-03-07;2562;5771;отменен
66;2016-03-23;2327;11345;доставлен
67;2021-05-03;456;1774;оформлен
68;2003-06-09;601;12230;доставлен
69;2014-01-28;2233;10223;оформлен
70;2007-01-30;2765;273;отменен
71;2002-12-03;1307;8324;доставлен
72;2021-06-14;2758;1105;отменен
73;2012-02-20;753;11792;отменен
74;2001-06-21;2051;13787;доставлен
75;2001-03-09;1535;2904;отменен
76;2015-03-21;2305;13898;оформлен
77;2011-12-07;1984;3454;оформлен
78;2015-03-11;1973;9538;доставлен
79;2006-08-22;1662;2755;доставлен
80;2007-03-23;2746;6720;оформлен
81;2006-10-08;2377;658;отменен
82;2008-09-26;1034;9561;отменен
83;2020-12-20;2548;12961;доставлен
84;2005-09-25;2584;8696;оформлен
85;2021-05-10;326;983;отменен
86;2006-08-26;124;606;оформлен
87;2007-04-17;2300;3808;отменен
88;2019-02-06;389;7560;доставлен
89;2007-06-25;165;6862;доставлен
90;2000-11-06;1828;9143;оформлен
91;2009-10-09;2028;11024;отменен
92;2009-01-30;1374;10656;оформлен
93;2008-04-23;124;1934;оформлен
94;2005-10-15;1916;5668;оформлен
95;2012-05-12;2554;11955;оформлен
96;2023-07-12;1883;4715;доставлен
97;2007-03-19;2450;12834;оформлен
98;2011-01-29;1618;7047;доставлен
99;2016-02-05;108;2446;доставлен
100;2009-05-04;1739;12086;доставлен
101;2021-11-19;1652;14416;оформлен
102;2019-11-13;696;12056;отменен
103;2005-01-20;1585;14879;доставлен
104;2016-01-17;2660;7071;доставлен
105;2001-08-11;2235;6896;доставлен
106;2000-02-21;2018;5115;доставлен
107;2022-11-28;266;4487;доставлен
108;2003-09-09;1185;9882;доставлен
109;2003-02-02;1465;12254;доставлен
110;2004-08-10;2527;5797;доставлен
111;2000-09-30;1756;7558;отменен
112;2021-03-25;2271;8192;оформлен
113;2021-11-04;379;2328;оформлен
114;2013-03-06;377;13039;доставлен
115;2018-07-26;354;1002;отменен
116;2013-12-03;2361;10264;отменен
117;2006-03-19;704;13884;оформлен
118;2019-05-19;2031;11069;отменен
119;2007-03-19;503;9161;доставлен
120;2015-05-23;1055;7369;отменен
121;2015-08-12;1903;3542;отменен
122;2007-10-25;1342;10794;отменен
123;2019-06-24;770;546;отменен
124;2011-05-18;368;11097;оформлен
125;2019-05-23;2203;709;отменен
126;2001-09-30;700;12896;отменен
127;2009-09-09;2394;6296;отменен
128;2021-03-05;2264;4840;отменен
129;2011-04-30;2572;9629;оформлен
130;2001-05-11;2981;14939;доставлен
131;2001-07-26;2325;5304;доставлен
132;2002-09-18;524;6202;доставлен
133;2009-05-01;290;5029;доставлен
134;2017-04-24;546;3436;доставлен
135;2016-02-22;973;2243;отменен
136;2009-11-26;239;2934;доставлен
137;2001-06-04;1936;6605;отменен
138;2021-11-30;467;10373;оформлен
139;2005-08-17;865;11907;отменен
140;2014-11-06;262;12963;отменен
141;2005-11-28;1017;13521;отменен
142;2004-09-18;2108;12760;отменен
143;2013-11-16;2818;1846;отменен
144;2001-11-14;1072;4043;доставлен
145;2001-04-04;1511;4060;оформлен
146;2012-08-10;1871;14428;доставлен
147;2013-02-16;1433;11919;оформлен
148;2008-07-14;2030;5730;оформлен
149;2006-03-21;2161;10941;доставлен
150;2013-12-14;713;10221;доставлен
151;2012-09-17;1959;13268;отменен
152;2016-10-19;2960;3279;отменен
153;2002-10-05;2241;3346;доставлен
154;2002-02-25;2416;11203;отменен
155;2011-09-02;2804;9833;доставлен
156;2001-09-11;1369;2459;отменен
157;2009-04-07;2638;4843;отменен
158;2003-08-26;1134;4250;отменен
159;2010-12-30;2808;12759;отменен
160;2010-01-22;1452;8782;доставлен
161;2021-04-24;917;11996;доставлен
162;2011-03-08;1695;11325;оформлен
163;2003-06-18;190;8748;оформлен
164;2002-08-21;764;14733;доставлен
165;2017-09-29;1958;14049;оформлен
166;2007-12-21;526;13980;оформлен
167;2014-02-04;1483;11251;отменен
168;2016-11-03;2572;8874;отменен
169;2008-11-19;1111;830;доставлен
170;2014-12-04;1554;12181;отменен
171;2015-01-21;206;2309;оформлен
172;2002-11-21;315;1821;оформлен
173;2008-11-05;1592;10449;отменен
174;2016-10-25;1667;10366;отменен
175;2007-01-02;97;5881;доставлен
176;2013-03-14;2247;8396;доставлен
177;2021-04-25;1477;13175;доставлен
178;2014-11-09;1233;14903;отменен
179;2012-05-07;646;8966;доставлен
180;2015-06-04;848;9066;отменен
181;2019-07-20;1487;13969;доставлен
182;2010-08-08;1866;2011;оформлен
183;2009-08-17;420;12726;отменен
184;2000-09-30;2899;8512;оформлен
185;2012-09-21;1222;745;доставлен
186;2001-07-06;1841;8502;доставлен
187;2020-02-29;1847;14227;доставлен
188;2016-06-27;367;7524;оформлен
189;2018-10-30;1261;5816;доставлен
190;2019-01-29;2925;968;отменен
191;2011-05-22;2977;11867;отменен
192;2000-08-23;2670;981;оформлен
193;2011-02-18;257;3614;оформлен
194;2015-03-19;819;2596;отменен
195;2023-08-23;1856;8008;отменен
196;2017-05-08;1226;14638;отменен
197;2006-09-07;2962;8850;отменен
198;2010-04-01;1005;916;отменен
199;2011-08-23;1907;4411;оформлен
200;2018-12-21;2309;14928;отменен
201;2014-06-04;1997;4752;доставлен
202;2000-07-18;338;2990;отменен
203;2018-08-12;2139;9002;доставлен
204;2021-06-22;1456;12930;оформлен
205;2002-07-28;1050;8632;оформлен
206;2015-09-02;613;5913;доставлен
207;2008-04-05;2808;6546;отменен
208;2016-02-17;957;13773;отменен
209;2016-11-16;4;14147;оформлен
210;2011-04-08;1868;2235;доставлен
211;2019-05-14;980;2011;оформлен
212;2000-01-08;1737;7778;отменен
213;2009-03-31;2556;4379;оформлен
214;2020-12-30;2791;7166;оформлен
215;2002-11-18;1418;2480;оформлен
216;2013-04-13;366;13665;отменен
217;2015-05-14;2116;7116;отменен
218;2019-09-01;460;4007;отменен
219;2015-11-20;2650;12455;доставлен
220;2016-10-13;518;5517;оформлен
221;2019-03-31;2761;3981;отменен
222;2020-05-03;2746;11572;оформлен
223;2001-12-06;2138;12317;доставлен
224;2004-10-21;1142;9651;оформлен
